<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPY;5;17.07.2025;11:55:00;626.94;627.15;626.86;627.08;46232
SPY;5;17.07.2025;12:00:00;627.09;627.265;627.07;627.22;33400
SPY;5;17.07.2025;12:05:00;627.21;627.42;627.11;627.39;41878
SPY;5;17.07.2025;12:10:00;627.37;627.5;627.25;627.44;52664
SPY;5;17.07.2025;12:15:00;627.43;627.5;627.16;627.21;39519
SPY;5;17.07.2025;12:20:00;627.22;627.22;626.8;626.83;36394
SPY;5;17.07.2025;12:25:00;626.81;627.18;626.79;627.095;62913
SPY;5;17.07.2025;12:30:00;627.08;627.17;626.79;626.83;47792
SPY;5;17.07.2025;12:35:00;626.84;626.92;626.72;626.84;34194
SPY;5;17.07.2025;12:40:00;626.83;626.92;626.57;626.62;45090
SPY;5;17.07.2025;12:45:00;626.63;626.87;626.53;626.81;35673
SPY;5;17.07.2025;12:50:00;626.78;626.83;626.64;626.73;32234
SPY;5;17.07.2025;12:55:00;626.74;626.86;626.62;626.66;29189
SPY;5;17.07.2025;13:00:00;626.68;626.85;626.62;626.83;23311
SPY;5;17.07.2025;13:05:00;626.83;626.97;626.77;626.89;46568
SPY;5;17.07.2025;13:10:00;626.86;626.86;626.73;626.78;34498
SPY;5;17.07.2025;13:15:00;626.78;626.89;626.68;626.865;49597
SPY;5;17.07.2025;13:20:00;626.87;627.03;626.79;627.03;27592
SPY;5;17.07.2025;13:25:00;627.03;627.08;626.94;626.97;32468
SPY;5;17.07.2025;13:30:00;626.97;627.09;626.67;627.02;69463
SPY;5;17.07.2025;13:35:00;627.03;627.19;626.99;627.11;28620
SPY;5;17.07.2025;13:40:00;627.12;627.26;627.05;627.24;28331
SPY;5;17.07.2025;13:45:00;627.25;627.37;627.24;627.34;28900
SPY;5;17.07.2025;13:50:00;627.33;627.33;627.19;627.3;37397
SPY;5;17.07.2025;13:55:00;627.31;627.37;627.23;627.37;21908
SPY;5;17.07.2025;14:00:00;627.37;627.45;627.34;627.44;30135
SPY;5;17.07.2025;14:05:00;627.435;627.5;627.34;627.44;49137
SPY;5;17.07.2025;14:10:00;627.44;627.44;627.28;627.37;38611
SPY;5;17.07.2025;14:15:00;627.38;627.41;627.14;627.18;44764
SPY;5;17.07.2025;14:20:00;627.16;627.5;627.14;627.48;37480
SPY;5;17.07.2025;14:25:00;627.48;627.78;627.44;627.77;50022
SPY;5;17.07.2025;14:30:00;627.77;627.88;627.67;627.83;73915
SPY;5;17.07.2025;14:35:00;627.85;627.91;627.68;627.78;46720
SPY;5;17.07.2025;14:40:00;627.78;627.84;627.65;627.82;47010
SPY;5;17.07.2025;14:45:00;627.83;627.86;627.76;627.82;21704
SPY;5;17.07.2025;14:50:00;627.83;627.99;627.77;627.985;30696
SPY;5;17.07.2025;14:55:00;628;628.14;627.88;627.95;54032
SPY;5;17.07.2025;15:00:00;627.95;628.03;627.93;627.95;36763
SPY;5;17.07.2025;15:05:00;627.97;628.4;627.95;628.28;57557
SPY;5;17.07.2025;15:10:00;628.29;628.3;628.17;628.24;41935
SPY;5;17.07.2025;15:15:00;628.23;628.28;628.15;628.25;51746
SPY;5;17.07.2025;15:20:00;628.25;628.32;628.07;628.08;75544
SPY;5;17.07.2025;15:25:00;628.08;628.13;628.015;628.09;82060
SPY;5;17.07.2025;15:30:00;628.09;628.09;627.95;627.98;64224
SPY;5;17.07.2025;15:35:00;627.97;628.27;627.96;628.12;82003
SPY;5;17.07.2025;15:40:00;628.11;628.2;628.09;628.15;65995
SPY;5;17.07.2025;15:45:00;628.16;628.16;627.86;627.89;131982
SPY;5;17.07.2025;15:50:00;627.9;628.27;627.79;628.19;142002
SPY;5;17.07.2025;15:55:00;628.21;628.31;627.67;628.02;294857
SPY;5;17.07.2025;16:00:00;628.02;628.29;627.66;628;660065
SPY;5;18.07.2025;9:35:00;629.3;629.31;628.69;628.9;216088
SPY;5;18.07.2025;9:40:00;628.9;629.05;628.54;628.86;93607
SPY;5;18.07.2025;9:45:00;628.88;628.93;628.59;628.63;63908
SPY;5;18.07.2025;9:50:00;628.59;629.18;628.58;629.05;81040
SPY;5;18.07.2025;9:55:00;629.06;629.15;628.45;628.68;104554
SPY;5;18.07.2025;10:00:00;628.69;628.78;628.57;628.64;44253
SPY;5;18.07.2025;10:05:00;628.77;629.33;628.42;628.52;70773
SPY;5;18.07.2025;10:10:00;628.55;628.62;628.32;628.42;54884
SPY;5;18.07.2025;10:15:00;628.42;628.48;627.99;628.06;84544
SPY;5;18.07.2025;10:20:00;628.05;628.2;627.58;627.94;96684
SPY;5;18.07.2025;10:25:00;627.94;628.13;627.6;627.68;119646
SPY;5;18.07.2025;10:30:00;627.68;627.68;627.24;627.38;133555
SPY;5;18.07.2025;10:35:00;627.4;627.76;627.29;627.69;85410
SPY;5;18.07.2025;10:40:00;627.69;627.91;627.32;627.33;66034
SPY;5;18.07.2025;10:45:00;627.32;627.49;627.18;627.47;62482
SPY;5;18.07.2025;10:50:00;627.47;627.6;627.25;627.4;43778
SPY;5;18.07.2025;10:55:00;627.4;627.68;627.37;627.48;45428
SPY;5;18.07.2025;11:00:00;627.48;627.68;627.12;627.13;41605
SPY;5;18.07.2025;11:05:00;627.14;627.39;626.91;627.23;82022
SPY;5;18.07.2025;11:10:00;627.25;627.59;627.21;627.49;43115
SPY;5;18.07.2025;11:15:00;627.48;627.66;627.19;627.29;56385
SPY;5;18.07.2025;11:20:00;627.31;627.69;627.31;627.31;57863
SPY;5;18.07.2025;11:25:00;627.31;627.55;627.14;627.37;56284
SPY;5;18.07.2025;11:30:00;627.36;627.64;627.35;627.57;22900
SPY;5;18.07.2025;11:35:00;627.62;628;627.62;627.85;42883
SPY;5;18.07.2025;11:40:00;627.84;627.92;627.72;627.78;28700
SPY;5;18.07.2025;11:45:00;627.77;627.88;627.59;627.8;25462
SPY;5;18.07.2025;11:50:00;627.82;628.01;627.68;627.98;29168
SPY;5;18.07.2025;11:55:00;627.98;628.17;627.97;628.12;34474
SPY;5;18.07.2025;12:00:00;628.11;628.12;627.87;628.11;38573
SPY;5;18.07.2025;12:05:00;628.12;628.16;627.8;627.82;38196
SPY;5;18.07.2025;12:10:00;627.81;627.88;627.47;627.66;44137
SPY;5;18.07.2025;12:15:00;627.65;627.81;627.55;627.7;33106
SPY;5;18.07.2025;12:20:00;627.69;627.78;627.58;627.62;28562
SPY;5;18.07.2025;12:25:00;627.64;627.66;627.11;627.34;76689
SPY;5;18.07.2025;12:30:00;627.33;627.41;626.55;626.96;114974
SPY;5;18.07.2025;12:35:00;626.98;627.02;626.61;626.73;62020
SPY;5;18.07.2025;12:40:00;626.73;626.91;626.49;626.87;80359
SPY;5;18.07.2025;12:45:00;626.88;627.23;626.86;627.14;44119
SPY;5;18.07.2025;12:50:00;627.17;627.31;626.88;627.11;40539
SPY;5;18.07.2025;12:55:00;627.09;627.38;627.04;627.12;55608
SPY;5;18.07.2025;13:00:00;627.12;627.12;626.53;626.7;49570
SPY;5;18.07.2025;13:05:00;626.67;626.84;626.46;626.68;52864
SPY;5;18.07.2025;13:10:00;626.69;626.97;626.63;626.8;46646
SPY;5;18.07.2025;13:15:00;626.81;627.16;626.51;627.16;57351
SPY;5;18.07.2025;13:20:00;627.2;627.21;626.82;626.84;43798
SPY;5;18.07.2025;13:25:00;626.82;627.1;626.71;626.89;43994
SPY;5;18.07.2025;13:30:00;626.86;627.09;626.73;626.92;32013
SPY;5;18.07.2025;13:35:00;626.94;627.3;626.94;627.29;26078
SPY;5;18.07.2025;13:40:00;627.27;627.43;627.14;627.43;26981
SPY;5;18.07.2025;13:45:00;627.45;627.52;627.18;627.2;36889
SPY;5;18.07.2025;13:50:00;627.2;627.24;626.89;627.04;28816
SPY;5;18.07.2025;13:55:00;627.06;627.06;626.8;626.985;25534
SPY;5;18.07.2025;14:00:00;626.98;627.15;626.86;627.07;19615
SPY;5;18.07.2025;14:05:00;627.09;627.38;627.04;627.36;59368
SPY;5;18.07.2025;14:10:00;627.36;627.39;627.08;627.2;38993
SPY;5;18.07.2025;14:15:00;627.17;627.18;626.87;626.94;37274
SPY;5;18.07.2025;14:20:00;626.93;627.06;626.68;627.06;34692
SPY;5;18.07.2025;14:25:00;627.05;627.35;627.05;627.31;27885
SPY;5;18.07.2025;14:30:00;627.29;627.33;627.02;627.1;20208
SPY;5;18.07.2025;14:35:00;627.09;627.36;627.05;627.15;42546
SPY;5;18.07.2025;14:40:00;627.13;627.28;627.07;627.21;20046
SPY;5;18.07.2025;14:45:00;627.19;627.38;627.16;627.29;19276
SPY;5;18.07.2025;14:50:00;627.3;627.4;627.21;627.38;27689
SPY;5;18.07.2025;14:55:00;627.39;627.41;627.22;627.28;33533
SPY;5;18.07.2025;15:00:00;627.29;627.29;627.07;627.19;42244
SPY;5;18.07.2025;15:05:00;627.21;627.36;627.06;627.08;38451
SPY;5;18.07.2025;15:10:00;627.07;627.25;627.04;627.18;27027
SPY;5;18.07.2025;15:15:00;627.19;627.2;627.03;627.15;46192
SPY;5;18.07.2025;15:20:00;627.15;627.49;627.14;627.48;39892
SPY;5;18.07.2025;15:25:00;627.48;627.6;627.43;627.48;63663
SPY;5;18.07.2025;15:30:00;627.47;627.48;627.29;627.39;46927
SPY;5;18.07.2025;15:35:00;627.39;627.43;627.09;627.1;56960
SPY;5;18.07.2025;15:40:00;627.15;627.29;627.06;627.15;53477
SPY;5;18.07.2025;15:45:00;627.13;627.21;627.04;627.13;52103
SPY;5;18.07.2025;15:50:00;627.12;627.31;627.01;627.28;98202
SPY;5;18.07.2025;15:55:00;627.31;627.56;627.27;627.54;160796
SPY;5;18.07.2025;16:00:00;627.52;627.76;627.37;627.59;360047
SPY;5;21.07.2025;9:35:00;628.77;629.19;628.68;629.1;136633
SPY;5;21.07.2025;9:40:00;629.1;629.36;629.03;629.33;74901
SPY;5;21.07.2025;9:45:00;629.32;629.52;629.26;629.44;47713
SPY;5;21.07.2025;9:50:00;629.46;630.17;629.46;630.09;102240
SPY;5;21.07.2025;9:55:00;630.09;630.32;629.89;630.32;83685
SPY;5;21.07.2025;10:00:00;630.33;630.7;630.33;630.57;99221
SPY;5;21.07.2025;10:05:00;630.58;631.03;630.58;630.88;112019
SPY;5;21.07.2025;10:10:00;630.88;630.89;630.59;630.59;66026
SPY;5;21.07.2025;10:15:00;630.59;630.71;630.39;630.62;61804
SPY;5;21.07.2025;10:20:00;630.63;630.68;630.44;630.63;48649
SPY;5;21.07.2025;10:25:00;630.64;631.16;630.61;631.16;89589
